Year,Month,Cotlook_A_Index_USD_per_kg
2004,12,1.07125361391
2005,1,1.12955280429
2005,2,1.1556066885
2005,3,1.24311812087
2005,4,1.25726329143
2005,5,1.228123655
2005,6,1.193050155
2005,7,1.21275096381
2005,8,1.18915285739
2005,9,1.21110320435
2005,10,1.28272140333
2005,11,1.251783236
2005,12,1.249378196
2006,1,1.28639577
2006,2,1.31505583
2006,3,1.26986112
2006,4,1.24009875
2006,5,1.19821097
2006,6,1.21584793
2006,7,1.22135948
2006,8,1.32056738
2006,9,1.29741887
2006,10,1.25773571
2006,11,1.26545188
2006,12,1.31064659
2007,1,1.30182811
2007,2,1.27537267
2007,3,1.28749808
2007,4,1.25994033
2007,5,1.22466641
2007,6,1.33599972
2007,7,1.49583467
2007,8,1.46827692
2007,9,1.50244853
2007,10,1.52008549
2007,11,1.53662014
2007,12,1.53331321
2008,1,1.61488415
2008,2,1.65456731
2008,3,1.76810524
2008,4,1.66228348
2008,5,1.63362342
2008,6,1.69865971
2008,7,1.70417126
2008,8,1.7206009281
2008,9,1.62260032
2008,10,1.37347826
2008,11,1.21143869
2008,12,1.22246179
2009,1,1.27206574
2009,2,1.21695024
2009,3,1.1353793
2009,4,1.25222416
2009,5,1.36576209
2009,6,1.35363668
2009,7,1.42859376
2009,8,1.41646835
2009,9,1.41205911
2009,10,1.47268616
2009,11,1.58291716
2009,12,1.6755112
2010,1,1.70637588
2010,2,1.76479831
2010,3,1.89156396
2010,4,1.941829296
2010,5,1.985701234
2010,6,2.051178448
2010,7,1.85538815
2010,8,1.9917691881
2010,9,2.308898526
2010,10,2.78994661
2010,11,3.40970728476
2010,12,3.7034088608
2011,1,3.9446714505
2011,2,4.699808916
2011,3,5.063350754
2011,4,4.77557435667
2011,5,3.649087024
2011,6,3.177518806
2011,7,2.6896364
2011,8,2.51547142
2011,9,2.576318932
2011,10,2.438530182
2011,11,2.307796216
2011,12,2.10430979
2012,1,2.229091282
2012,2,2.22115465
2012,3,2.1935969
2012,4,2.203297228
2012,5,1.951840275
2012,6,1.811756716
2012,7,1.851219414
2012,8,1.86069928
2012,9,1.85518773
2012,10,1.80668609
2012,11,1.782876194
2012,12,1.837991694
2013,1,1.885170562
2013,2,1.977764602
2013,3,2.08226359
2013,4,2.034423336
2013,5,2.043021354
2013,6,2.052060296
2013,7,2.041919044
2013,8,2.04478505
2013,9,1.986142158
2013,10,1.970268894
2013,11,1.865769906
2013,12,1.9287669225
2014,1,2.005322352
2014,2,2.07344511
2014,3,2.13737909
2014,4,2.07675204
2014,5,2.043903202
2014,6,2.00399958
2014,7,1.848353408
2014,8,1.6314188
2014,9,1.617750156
2014,10,1.550729708
2014,11,1.488559424
2014,12,1.50575546
2015,1,1.48481157
2015,2,1.539706608
2015,3,1.52890397
2015,4,1.58071254
2015,5,1.606286132
2015,6,1.59504257
2015,7,1.59504257
2015,8,1.583358084
2015,9,1.515455788
2015,10,1.521849186
2015,11,1.526037964
2015,12,1.551832018
2016,1,1.51567625
2016,2,1.467615534
2016,3,1.443144252
2016,4,1.527360736
2016,5,1.549406936
2016,6,1.63362342
2016,7,1.787064972
2016,8,1.769428012
2016,9,1.716517132
2016,10,1.731067624
2016,11,1.739886104
2016,12,1.7526729
2017,1,1.815063646
2017,2,1.87723393
2017,3,1.913169236
2017,4,1.918901248
2017,5,1.954175168
2017,6,1.868635912
2017,7,1.853864958
2017,8,1.749145508
2017,9,1.77692372
2017,10,1.73283132
2017,11,1.772734942
2017,12,1.883186404
2018,1,2.007526972
2018,2,1.946018074
2018,3,2.031336868
2018,4,2.033541488
2018,5,2.082924976
2018,6,2.154134202
2018,7,2.120403516
2018,8,2.08446821
2018,9,1.992094632
2018,10,1.91361016
2018,11,1.912948774
2018,12,1.8959732
2019,1,1.81550457
2019,2,1.78904913
2019,3,1.847692022
2019,4,1.92353095
2019,5,1.766782468
2019,6,1.71188743
2019,7,1.665369948
2019,8,1.560430036
2019,9,1.572114522
2019,10,1.628773256
2019,11,1.650378532
2019,12,1.671763346
2020,1,1.743193034
2020,2,1.688077534
2020,3,1.492307278
2020,4,1.400595086
2020,5,1.44843534
2020,6,1.49473236
2020,7,1.510605624
2020,8,1.541911228
2020,9,1.561091422
2020,10,1.649496684
2020,11,1.713430664
2020,12,1.786183124
2021,1,1.923090026
2021,2,2.045005512
2021,3,2.01612499
2021,4,2.000251726
2021,5,2.003779118
2021,6,2.0833659
2021,7,2.15391374
2021,8,2.23328006
2021,9,2.285750016
2021,10,2.587782956
2021,11,2.789726148
2021,12,2.646425848
2022,1,2.91120071
2022,2,3.051414542
2022,3,3.111380206
2022,4,3.424215784
2022,5,3.61006525
2022,6,3.398862654
2022,7,2.888713586
2022,8,2.742988204
2022,9,2.59263312
2022,10,2.197565216
2022,11,2.22556389
2022,12,2.223800194
2023,1,2.211013398
2023,2,2.190951356
2023,3,2.102987018
2023,4,2.097916392
2023,5,2.07344511
2023,6,2.038832576
2023,7,2.054264916
2023,8,2.114891966
2023,9,2.15942529
2023,10,2.106293948
2023,11,1.994299252
2023,12,1.995401562
2024,1,2.030014096
2024,2,2.196021982
2024,3,2.198887988
2024,4,1.98856724
2024,5,1.9069963
2024,6,1.833802916
2024,7,1.792796984
2024,8,1.761270918
2024,9,1.818370576
2024,10,1.843723706
2024,11,1.797206224
2024,12,1.762373228
2025,1,1.723571916
2025,2,1.721146834
2025,3,1.712548816
2025,4,1.727540232
2025,5,1.719824062
2025,6,1.725776536
2025,7,1.737461022
2025,8,1.73283132
2025,9,1.718280828
2025,10,1.675070276
2025,11,1.656992392
2025,12,1.63252111
