time,open,high,low,close,EMA,EMA,EMA,EMA
1990-07-09,73.53,75.88,70.75,74.28,66.05584491263511,66.17948764771214,67.14800564230302,67.6736437239035
1990-07-16,74,75.5,72.7,72.86,66.09598742052516,66.22571956710513,67.21520557592298,67.74517967253931
1990-07-23,71.45,74.37,70.86,73.4,66.13907894016808,66.27536856664074,67.28796786326507,67.82317719429739
1990-07-30,71.85,73.25,70.01,72.77,66.17819941839717,66.32031411289236,67.35246235899136,67.89140923299674
1990-08-06,72.25,73.41,70.07,70.65,66.20458172271341,66.3502773370246,67.39125691947382,67.92945876081747
1990-08-13,69.9,70.05,68.4,69.21,66.22231280399534,66.37006780528048,67.41265389689177,67.9471213985993
1990-08-20,69.21,72.4,69.05,72.35,66.25846435087442,66.41145141908477,67.47074032163422,68.00785075861862
1990-08-27,72.6,73.24,71.7,72.19,66.29345866148873,66.45144137466204,67.52626102373264,68.06553557574112
1990-09-03,72.1,73.48,71.45,72.94,66.33267129475428,66.49634489456056,67.58995207051225,68.13276956779987
1990-09-10,72.95,73.07,71.4,71.59,66.3636879832808,66.53159510290271,67.63701145791799,68.18045550479573
1990-09-17,71.25,74.25,71.2,73.04,66.40307625476586,66.57663596724248,67.70057602900131,68.24748370472959
1990-09-24,72.55,72.61,71.04,71.92,66.43562447745161,66.61361426504703,67.75021631101306,68.29813910190573
1990-10-01,71.71,72.84,71.42,72.8,66.47317241563773,66.6564266230744,67.8096255308835,68.3602337349829
1990-10-08,73.05,74.4,72.5,73.08,66.51215074946877,66.70088041807043,67.87162993640251,68.42533395932796
1990-10-15,73.03,73.93,72.57,73.23,66.55178407838046,66.74606463663049,67.93466958420954,68.49160521506137
1990-10-22,73.45,75.2,73.4,74.26,66.59726027850802,66.79806418931817,68.00908523616002,68.57116928106052
1990-10-29,74.4,75.8,74.4,74.98,66.64671597008024,66.85468658247167,68.09109599808755,68.65956694614934
1990-11-05,74.62,74.65,71.05,73.07,66.68461145108272,66.89769913207394,68.14967133928653,68.7204005055128
1990-11-12,72.75,74.75,72.37,73.63,66.72558719473415,66.94428944949904,68.21414579411845,68.78811911922986
1990-11-19,73.5,74.14,72.95,73.93,66.7680911050897,66.99263346714956,68.28139113771705,68.85904161413704
1990-11-26,74.15,74.42,73.05,74.18,66.81181918116586,67.04237302793054,68.35078653609685,68.93243414359722
1990-12-03,73.98,74.95,73.19,74.93,66.85971405325337,67.09695868171649,68.42818904743689,69.01515918989243
1990-12-10,74.85,76.87,74.76,76.61,66.91723786414863,67.16279287769076,68.5244456468788,69.11991561485944
1990-12-17,76.06,76.72,75.3,76.27,66.97241640182327,67.22581853251643,68.61556981573905,69.21853746844758
1990-12-24,76.27,77.8,76.27,77.8,67.03629595107505,67.298996258935,68.72362193555388,69.33690246888278
1990-12-31,77.8,77.8,75.05,76.8,67.09389892481502,67.36474714987664,68.81863814807677,69.43984174517405
1991-01-07,76.33,76.58,75.3,76.02,67.14656028809046,67.4246450934761,68.90336005221704,69.53060254868889
1991-01-14,75.67,77.79,75.27,77.52,67.207760522379,67.49450914127212,69.00473228689684,69.64080113422422
1991-01-21,77.15,78.4,76.32,78.03,67.27160854289595,67.5674191126128,69.11091190705099,69.75651422202802
1991-01-28,77.65,79.8,77.65,79.53,67.34392943644818,67.65020513951514,69.23348941402686,69.89132092241384
1991-02-04,79.43,84.99,79.25,84.13,67.4429623011299,67.76425216277109,69.40874247974419,70.08771649589778
1991-02-11,83.5,84.9,82.25,84.83,67.54554069463356,67.88235422392837,69.59016903880602,70.29105833733367
1991-02-18,84.8,87.44,84.51,87.44,67.66291213596315,68.01770125352057,69.80016705011418,70.52759546371527
1991-02-25,87.85,88.85,84.75,88.38,67.78513684312561,68.15861681577995,70.01875332011284,70.77383552628471
1991-03-04,87.8,88.3,83.45,84.43,67.88333662576204,68.27122154369843,70.18829739869975,70.96219641557734
1991-03-11,84.03,86.47,82.9,85.75,67.98874466926787,68.3921819482403,70.37137625283269,71.16616612019007
1991-03-18,84.95,85.15,81.43,81.43,68.06804411074712,68.48240906278535,70.50147770868172,71.3077362426702
1991-03-25,81.23,82.85,81.09,81.82,68.14917659386956,68.57471073017092,70.63463679446194,71.45273298415061
1991-04-01,83.2,85.45,82.81,85.34,68.25059738092637,68.69073349328393,70.80764106746827,71.64428149471405
1991-04-08,85.1,89,85.1,88.49,68.37000388605364,68.82775263865912,71.0156688196157,71.876636232718
1991-04-15,88.85,89.5,85.76,87.01,68.479974364602,68.95358134012169,71.20383742173787,72.0853722846805
1991-04-22,87.06,87.47,84.4,86.38,68.5855792356073,69.07417939313123,71.3823805108939,72.2825395635125
1991-04-29,87.19,89.75,86.75,89.57,68.7093811280226,69.2160189821061,71.59635250488338,72.52098729367094
1991-05-06,89.05,89.25,87.37,87.72,68.82153817151509,69.34407421406385,71.78604247541416,72.730628848241
1991-05-13,87.92,92.39,87.85,92.3,68.9600541705032,69.50293875237483,72.027383152174,73.00055120895492
1991-05-20,92.75,94.45,88,90.02,69.08430163852383,69.64492533540339,72.23906099744254,73.23530222676244
1991-05-27,90.49,91,85.23,85.58,69.18162139286882,69.75520266872239,72.39601322100204,73.40557392018641
1991-06-03,84.5,86.9,83.7,86.81,69.2856236265392,69.87322894783158,72.56558953604907,73.59046255577005
1991-06-10,87.1,87.2,73.9,74.6,69.31697687947998,69.90594016618569,72.58952377680144,73.60438721017321
1991-06-17,74.7,76,73.44,74.42,69.3470832105745,69.93717933458579,72.61105879119201,73.61563704175703
1991-06-24,74.25,74.88,71.96,71.96,69.3624986488602,69.95117809351599,72.60339927600151,73.59280066876727
1991-07-01,70.75,71.15,70,70.54,69.3694455594864,69.95525298560239,72.5791239904015,73.55069307333599
1991-07-08,70.5,71.25,68.56,69.44,69.3698618098729,69.95168722099613,72.54219311992618,73.49399385853135
1991-07-15,68.65,70.5,68.2,69.73,69.37198651895919,69.95015305337678,72.50910849498588,73.44207670186195
1991-07-22,70.2,71.5,68.62,69.38,69.37203379613346,69.94620735750566,72.4722954538684,73.38604805769833
1991-07-29,69.5,70.3,68,70.08,69.3762105878967,69.94713325814575,72.44415080146995,73.34044739483353
1991-08-05,69.85,70.5,67.76,67.8,69.36691141038698,69.93227420445616,72.38951373321736,73.26402743076686
1991-08-12,67.31,67.7,63.51,64.92,69.34067594483896,69.8975871857402,72.30163710106186,73.14893739723904
1991-08-19,64.25,67.6,64.25,64.93,69.31465425784876,69.86320941974893,72.21491195869642,73.03557274348401
1991-08-26,64.65,66.85,64.35,66.06,69.29545275780245,69.83688963137696,72.14250122977057,72.93935794702216
1991-09-02,66.1,67.27,65.75,66.12,69.27671852324315,69.81116721178266,72.07164827412622,72.84529783740805
1991-09-09,66.02,67,64.2,64.86,69.25066118682284,69.77690307882915,71.98680535325414,72.73515579827139
1991-09-16,65.3,67.74,64.86,67.66,69.24127675504218,69.76225323053275,71.93590176086292,72.66515364932972
1991-09-23,67.4,67.46,64.7,64.84,69.21531052049916,69.72818919433529,71.85242056367629,72.55722049554586
1991-09-30,64.25,66.8,63.75,65.64,69.19421724309208,69.69989722759249,71.77933326292715,72.46181055767626
1991-10-07,64.65,65,63.75,64.52,69.16664074018298,69.66405018795517,71.69392934218683,72.35226834308762
1991-10-14,64.25,64.35,62.65,63.15,69.13114433463618,69.6189702558586,71.5934125263964,72.22534050387262
1991-10-21,63.25,63.6,62.45,62.68,69.09308448605425,69.57094970045473,71.48854884961527,72.09368063485368
1991-10-28,62.75,62.8,60.72,61.83,69.05023443008933,69.51737911429241,71.3749188631492,71.95211262609708
1991-11-04,61.51,61.6,58.5,58.52,68.98810915321565,69.44127268443572,71.22368452358275,71.76684210711643
1991-11-11,58.6,61.3,57.25,59.56,68.93248609036482,69.37289017450883,71.08646470565824,71.5984718711562
1991-11-18,59.55,61.88,58.73,58.73,68.87229443201458,69.29923695530807,70.9410945326505,71.42097570741612
1991-11-25,58.74,59.55,58.6,58.95,68.8137558217962,69.22761593831632,70.80002283226638,71.2489622493828
1991-12-02,58.73,60.09,58.35,58.91,68.75532658390951,69.15621375189198,70.66014021071031,71.0787696666327
1991-12-09,58.9,60.18,58.61,59.7,68.70190282825223,69.09077282627335,70.53119738470195,70.92182111950673
1991-12-16,59.9,61.6,58.89,59.09,68.64519543693511,69.0215633257455,70.39659506252899,70.75862358682387
1991-12-23,58.96,60.28,58.85,59.28,68.58994354645172,68.95414766259155,70.26581159120512,70.60029774424699
1991-12-30,59.2,60.35,58.8,59.83,68.5382624635818,68.891004772193,70.14303733719095,70.45174191329185
1992-01-06,59.83,60.9,57.3,57.8,68.47490988267572,68.81425041390793,69.997825133224,70.27723512828094
1992-01-13,57.6,57.65,55.6,56.36,68.40343548808767,68.72806182972863,69.83738013165666,70.08527326444258
1992-01-20,56.07,56.95,55.37,55.5,68.3273090250311,68.63651814924609,69.66870507128422,69.88409708148475
1992-01-27,55.15,55.3,53.04,53.06,68.2372364054144,68.5287221758949,69.47330854103382,69.652040570016
1992-02-03,52.9,54.9,52.65,54.54,68.15642675110516,68.43191440997175,69.29762255819813,69.44359863111923
1992-02-10,54.4,55.95,53.15,55.47,68.08158057558241,68.34221258014496,69.13494464574873,69.25085933965552
